AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,PERIODO,TIPENC,FECENT,RESULT,PANEL,P22,P23,P24A,P24B,P25$1,P25$2,P25$3,P25$4,P25$5,P101,P102,P103,P103A,P104,P104A,P104B1,P104B2,P105A,P105B,P106,P106A,P106B,P107B1,P107C11,P107C12,P107C13,P107C14,P107C16,P107C17,P107C18,P107C19,P107C110,P107D1,P107B2,P107C21,P107C22,P107C23,P107C24,P107C26,P107C27,P107C28,P107C29,P107C210,P107D2,P107B3,P107C31,P107C32,P107C33,P107C34,P107C36,P107C37,P107C38,P107C39,P107C310,P107D3,P107B4,P107C41,P107C42,P107C43,P107C44,P107C46,P107C47,P107C48,P107C49,P107C410,P107D4,P107E,P110,P110A1,P110A,P110A_MODIFICADA,P110C,P110C1,P110C2,P110C3,P110D,P110E,P110F,P110G,P111A,P1121,P1123,P1124,P1125,P1126,P1127,P112A,P1131,P1132,P1133,P1135,P1136,P1139,P1137,P1138,P113A,P1141,P1142,P1143,P1144,P1145,P1171$01,P1171$02,P1171$03,P1171$04,P1171$05,P1171$06,P1171$07,P1171$08,P1171$09,P1171$10,P1171$11,P1171$12,P1171$13,P1171$14,P1171$15,P1171$16,P1172$01,P1172$02,P1172$03,P1172$04,P1172$05,P1172$06,P1172$07,P1172$08,P1172$09,P1172$10,P1172$11,P1172$12,P1172$13,P1172$14,P1172$15,P1172$16,P1173$01,P1173$02,P1173$03,P1173$04,P1173$05,P1173$06,P1173$07,P1173$08,P1173$09,P1173$10,P1173$11,P1173$12,P1173$13,P1173$14,P1173$15,P1173$16,P1174$01,P1174$02,P1174$03,P1174$04,P1174$05,P1174$06,P1174$07,P1174$08,P1174$09,P1174$10,P1174$11,P1174$12,P1174$13,P1174$14,P1174$15,P1174$16,P1175$01,P1175$02,P1175$03,P1175$04,P1175$05,P1175$06,P1175$07,P1175$08,P1175$09,P1175$10,P1175$11,P1175$12,P1175$13,P1175$14,P1175$15,P1175$16,P117T2,P117T3,P117T4,T110,P200I,P600I,P600D1,P600M1,P600A1,P600D2,P600M2,P600A2,P612I1,P612I11,P612I2,P612I22,P700I,P710I,P800I,P110I,D105B,D106,D107D1,D107D2,D107D3,D107D4,D1172$01,D1173$01,D1174$01,D1172$02,D1173$02,D1174$02,D1172$04,D1173$04,D1174$04,D1172$05,D1173$05,D1174$05,D1172$06,D1173$06,D1174$06,D1172$07,D1173$07,D1174$07,D1172$08,D1173$08,D1174$08,D1172$09,D1173$09,D1174$09,D1172$10,D1173$10,D1174$10,D1172$15,D1173$15,D1174$15,D1172$16,D1173$16,D1174$16,D612I11,D1172$11,D1173$11,D1174$11,D1172$12,D1173$12,D1174$12,D1172$13,D1173$13,D1174$13,D1172$14,D1173$14,D1174$14,D612I22,I105B,I106,I1172$01,I1172$02,I1172$04,I1172$05,I1172$06,I1172$07,I1172$08,I1172$09,I1172$10,I1172$11,I1172$12,I1172$13,I1172$14,I1172$15,I1172$16,I1173$01,I1174$01,I1173$02,I1174$02,I1173$04,I1174$04,I1173$05,I1174$05,I1173$06,I1174$06,I1173$07,I1174$07,I1173$08,I1174$08,I1173$09,I1174$09,I1173$10,I1174$10,I1173$11,I1174$11,I1173$12,I1174$12,I1173$13,I1174$13,I1173$14,I1174$14,I1173$15,I1174$15,I1173$16,I1174$16,T111A,NBI1,NBI2,NBI3,NBI4,NBI5,TICUEST01,TIPOCUESTIONARIO,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME,CODCCPP,NOMCCPP,LONGITUD,LATITUD,ALTITUD
2021,02,005007,003,11,010101,4,4,1,3,20210303,1,1,2, ,1,1,1,0,1,1,0,3,3,3,2,1,0,3,2,1,300, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1, ,0,0,0,0,0,0,0,0,1,0,1,0,0,25,55, , , , , , , , , ,45, ,45, , ,0,0, , , , , , , , , ,0, ,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,1,01,01,19,01,2021,02,02,2021,2, ,2, ,01,01,01,01,3738, , , , , ,311,0, ,685,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,569,0, , , , ,569,0, , ,3738, ,311,685, , , , , , , , ,569, ,569, , ,0, ,0, , , , , , , , , , , , , , , , , ,0, , , ,0, , , , , ,1,0,0,0,0,0,2,2,72.5634307861328,62.8265880764303,007070,00,0001,CIUDAD CHACHAPOYAS,-77.8739242553711,-6.22904920578003,2338
2021,02,005007,012,11,010101,4,4,1,3,20210210,1,1,2, ,1,2,1,0,1,1,0,4,3,5,2,1,0,3,2,1,100, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,2,1,9,9.9,1,24, , ,9,9,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1, ,0,1,0,1,0,1,1, ,0,0,0,0,0,0,0,0,1,0,1,0,0,6,10, , , , , , , , , ,10, ,20, , ,0,0, , , , , , , , , ,0, ,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,01,01,26,01,2021,09,02,2021,2, ,2, ,01,01,01,01,1256, , , , , ,75,0, ,126,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128,0, , , , ,255,0, , ,1256, ,75,126, , , , , , , , ,128, ,255, , ,0, ,0, , , , , , , , , , , , , , , , , ,0, , , ,0, , , , , ,2,0,0,0,0,0,2,2,72.5634307861328,62.8265880764303,007070,00,0001,CIUDAD CHACHAPOYAS,-77.8739242553711,-6.22904920578003,2338
2021,02,005007,022,11,010101,4,4,1,3,20210304,1,2,2, ,1,1,1,0,1,1,0,1,3,2,4,6,3,1,2,2, ,99999,1,1,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,0,0,60,170, ,43, , , , , , , ,120,70,172, , ,0,0, ,0, , , , , , , ,0,0,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,1,03,03,19,01,2021,02,02,2021,2, ,2, ,01,01,01,03, ,999999, , , , ,748,0, ,2118,0, ,536,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1518,0, ,886,0, ,2176,0, , , ,5731,748,2118,536, , , , , , , ,1518,886,2176, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,2,72.5634307861328,62.8265880764303,007070,00,0001,CIUDAD CHACHAPOYAS,-77.8739242553711,-6.22904920578003,2338
2021,02,005007,050,11,010101,4,4,1,3,20210205,1,1,2, ,1,1,1,0,1,1,0,1,1,5,1,3,2,1,1,2, ,600,1,2,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1, ,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0, ,23, , , , , , , ,0, ,10, , ,83,83, ,0, , , , , , , ,20, ,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,186,0,1,01,01,19,01,2021,02,02,2021,2, ,2, ,01,01,01,01, ,7536, , , , ,0,1043, ,0,1043, ,289,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,255, , , , ,128,0, , , ,7536,0,0,289, , , , , , , ,0, ,128, , ,1043, ,1043, ,0,0, , , , , , , , , , , , , , ,255, , , ,0, , , , , ,1,0,0,0,0,0,2,2,72.5634307861328,62.8265880764303,007070,00,0001,CIUDAD CHACHAPOYAS,-77.8739242553711,-6.22904920578003,2338
2021,01,005009,041,11,010101,4,4,1,3,20210119,1,1,1,010114,1,1,1,0,1,1,0,1,1,5,1,3,2,1,1,2, ,400,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1, ,1,0,0,0,1,0,0,0,1,0,0,0,0,40,20, ,41, , , ,0, , , ,20, , , , ,0,0, ,0, , , ,0, , , ,0, , , , , , , ,0, , , ,0, , , , , , , , ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,121,0,0,1,01,01,24,12,2020,07,01,2021,2, ,2, ,01,01,01,01, ,5085, , , , ,508,0, ,254,0, ,521,0,0, , , , , , , , , ,0,0,0, , , , , , , , , , , , , , , , ,256,0, , , , , , , , , ,5085,508,254,521, , , ,0, , , ,256, , , , ,0, ,0, ,0,0, , , , , , ,0,0, , , , , , ,0, , , , , , , , , ,1,0,0,0,0,0,2,2,477.372741699219,312.169361634077,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2021,01,005009,098,11,010101,4,4,1,3,20210110,1,1,2, ,2,3,0,1,1,1,0,4,1,5,1,1,1,3,3,1,180, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,2,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,0,0,10,39, ,35, , , , , , , ,50,45,10, , ,0,0, ,0, , , , , , , ,0,0,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,2,02,02,26,12,2020,09,01,2021,2, ,2, ,02,02,02,02,2288, , , , , ,127,0, ,496,0, ,445,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,639,0, ,575,0, ,128,0, , ,2288, ,127,496,445, , , , , , , ,639,575,128, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,1,0,0,0,2,2,477.372741699219,312.169361634077,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2021,01,005009,126,11,010101,4,4,1,3,20210109,1,2,2, ,1,1,1,0,1,1,0,1,1,5,4,3,2,2,1,2, ,1000,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,1,1,2,0,0,0,0,0,0,0,40000,2, , , , , , , , , , ,2,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,1,0,34,107, ,34, , , , , , , ,100,50,53,0, ,0,0, ,0, , , , , , , ,0,0,0,0, , , , ,0, , , , , , , , , , ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,378,0,0,1,01,01,26,12,2020,09,01,2021,2, ,2, ,01,01,01,01, ,12712, , ,42905, ,432,0, ,1360,0, ,432,0,0, , , , , , , , , , , , , , , , , , ,0,0,0, , , , , , , ,1278,0, ,639,0, ,677,0, , , ,12712,432,1360,432, , , , , , , ,1278,639,677,0, ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, ,0,0, , ,1,0,0,0,0,0,2,2,477.372741699219,312.169361634077,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2021,04,005019,041,11,010101,4,4,1,3,20210411,1,1,2, ,1,1,1,0,1,1,0,1,1,4,4,1,0,2,2,2, ,220,1,1,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,2, ,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1, ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0, ,6, , , , , , , ,0,0, , , ,10,10, ,0, , , , , , , ,10,20, , , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,1,01,01,27,03,2021,10,04,2021,2, ,2, ,01,01,01,01, ,2731, , , , ,0,124, ,0,124, ,74,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,124, ,0,248, , , , , , ,2731,0,0,74, , , , , , , ,0,0, , , ,124, ,124, ,0,0, , , , , , , , , , , , , , ,124, ,248, , , , , , , ,1,0,0,0,0,0,2,2,89.6513061523438,92.2951778368712,007097,00,0001,CIUDAD CHACHAPOYAS,-77.8726348876953,-6.23399257659912,2305
2021,04,005019,085,11,010101,4,4,1,3,20210410,1,1,2, ,1,2,1,0,1,1,0,1,1,5,4,2,1,1,2,6, ,400, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1,1, ,1,0,0,0,1,0,0,0,1,1,0,0,0,20,40, ,38, , , ,0, , , ,20,50, , , ,0,0, ,0, , , ,15, , , ,0,0, , , , , , ,0, , , ,0, , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,15,0,1,01,01,26,03,2021,09,04,2021,2, ,2, ,01,01,01,01, ,4966, , , , ,248,0, ,497,0, ,472,0,0, , , , , , , , , ,0,186,0, , , , , , , , , , , , , , , , ,248,0, ,621,0, , , , , , ,4966,248,497,472, , , ,0, , , ,248,621, , , ,0, ,0, ,0,0, , , , , , ,186,0, , , , , , ,0, ,0, , , , , , , ,1,0,0,0,0,0,2,2,89.6513061523438,92.2951778368712,007097,00,0001,CIUDAD CHACHAPOYAS,-77.8726348876953,-6.23399257659912,2305
2021,04,005019,114,11,010101,4,4,1,3,20210408,1,1,2, ,1,1,1,0,1,1,0,1,1,5,1,4,3,1,2,2, ,1500,1,2,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,9,9.9,1,24, , ,9,9,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,0,0,18,55, ,60, , , , , , , ,55,50,45, , ,0,0, ,0, , , , , , , ,0,0,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,1,02,02,25,03,2021,08,04,2021,2, ,2, ,02,02,02,02, ,18621, , , , ,223,0, ,683,0, ,745,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,683,0, ,621,0, ,559,0, , , ,18621,223,683,745, , , , , , , ,683,621,559, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,2,89.6513061523438,92.2951778368712,007097,00,0001,CIUDAD CHACHAPOYAS,-77.8726348876953,-6.23399257659912,2305
